ACT composite score,SAT total score,parental level of education,parental income,high school gpa,college gpa,years to graduate
29,1941,high school,47207,3.7,3.2,7
28,1947,bachelor's degree,66361,3.6,3.4,5
30,2055,some college,44765,3.9,3.2,5
28,1968,some college,71442,3.5,3.3,6
28,2046,associate's degree,86389,3.7,3.5,5
30,2091,master's degree,79992,4,3.8,3
31,2117,some college,70997,4,3.7,3
28,2011,bachelor's degree,93088,3.9,3.4,6
26,1847,some college,78688,3.4,3.5,3
26,1907,high school,56347,3.6,3.3,5
29,1914,associate's degree,72132,3.7,3.7,3
28,2130,some college,55671,3.9,3.6,7
27,1915,associate's degree,84871,3.5,3.7,3
34,2185,high school,48517,4,3.4,5
27,1970,high school,65356,3.8,3.3,4
26,1976,bachelor's degree,76556,3.7,3.2,5
30,2102,associate's degree,63331,4,3.2,8
28,1972,high school,65984,3.6,3.3,4
27,1760,high school,38669,3.4,3.1,5
28,1966,bachelor's degree,63479,3.6,3.1,8
34,2208,associate's degree,71935,4,3.2,5
32,2051,high school,50319,4,3.5,5
31,2079,associate's degree,68177,4,3.6,4
30,1962,some college,74130,3.9,3.7,3
30,2045,associate's degree,88969,3.9,3.5,4
24,1806,some college,28431,3.4,3.2,5
21,1638,high school,78532,2.8,3.2,6
29,1921,high school,67999,3.7,3.4,5
27,2015,some high school,46179,3.7,3.5,7
28,1937,associate's degree,78451,3.7,3.3,4
30,2086,some college,60634,3.9,3.2,6
30,2061,some college,70394,3.8,3.4,4
28,1930,master's degree,95106,3.6,3.4,4
31,2230,some college,64696,4,3.8,3
29,1969,some high school,31109,3.8,3.3,5
28,2046,some college,99453,3.9,3.4,5
26,1936,some high school,77318,3.6,3.2,7
28,1986,some college,85964,3.9,3.4,4
29,2016,master's degree,80045,3.8,3.7,3
28,1902,some high school,46886,3.7,3.5,4
26,1747,associate's degree,82035,3.3,3.6,3
28,1855,some college,121519,3.4,3.6,4
27,1883,some high school,50888,3.5,3,8
28,2004,some high school,21226,3.8,3.2,5
21,1658,high school,55374,3,3.2,4
30,2090,high school,44405,3.8,3.4,7
29,1925,associate's degree,79691,3.7,3.6,3
25,1766,high school,62822,3.3,3.4,5
29,1985,some high school,44218,3.8,3.5,4
28,2079,bachelor's degree,69363,3.9,3.7,4
26,1974,some college,57603,3.6,3.1,5
29,2062,some high school,33172,3.9,3.5,4
29,2006,some college,80090,3.6,3.3,4
34,2306,associate's degree,60820,4,3.7,4
26,1840,bachelor's degree,98370,3.4,3.3,7
28,1991,associate's degree,64564,3.8,3.3,4
26,1923,some high school,39394,3.5,3.1,6
22,1710,some college,73159,3.1,3,7
32,2142,some college,61991,4,3.7,5
34,2161,master's degree,99716,4,3.7,6
26,1981,some college,61241,3.5,3.3,7
33,2185,master's degree,76331,4,3.9,3
33,2255,associate's degree,85715,4,3.7,4
34,2186,associate's degree,58020,4,3.5,4
27,1908,high school,62387,3.6,3.7,3
29,1949,some high school,77867,3.6,3.6,4
31,2071,high school,56718,3.9,3.2,5
26,1841,some high school,60567,3.4,3.3,6
32,2302,associate's degree,59905,4,3.4,5
27,1783,some college,74868,3.4,3.2,5
31,1992,high school,61118,3.9,3.3,6
26,1843,some college,74972,3.4,3.1,5
34,2333,bachelor's degree,68374,4,3.2,5
30,2020,high school,41556,3.9,3.2,6
33,2225,associate's degree,74249,4,3.6,4
28,2085,some college,43489,3.8,3.1,5
32,2168,master's degree,102982,4,3.9,3
28,1948,high school,72163,3.7,3.5,4
30,1957,high school,55940,3.7,3.5,3
27,2062,associate's degree,58005,3.7,3.3,4
28,1853,high school,45764,3.4,3.2,7
32,2073,some college,62253,4,3.4,4
31,2184,high school,55744,4,3.4,4
32,2189,some high school,46969,4,3.5,7
29,2058,associate's degree,39762,3.7,3,6
30,1997,master's degree,81356,3.9,3,5
29,1826,high school,74808,3.5,3.5,5
28,2077,bachelor's degree,81144,4,3.6,4
27,1869,master's degree,89991,3.6,3.6,4
31,2135,associate's degree,82717,4,3.5,4
26,1870,some college,70409,3.4,3.6,3
28,1914,high school,60407,3.5,3.4,6
28,1990,some college,50116,3.6,3,7
30,2077,bachelor's degree,83987,4,3.7,6
30,1954,some college,46463,3.9,3.2,5
28,1988,high school,81967,3.6,3.5,4
29,1943,bachelor's degree,79313,3.9,3.3,6
26,1963,some college,68975,3.7,3.5,4
30,1981,some college,94293,3.8,3.8,5
32,2201,high school,42344,4,3.7,8
32,2233,some college,51855,4,3.5,6
33,2202,associate's degree,100054,4,3.7,5
28,1951,some college,53141,3.7,3.3,5
31,2155,some college,71643,4,3.7,3
25,1819,associate's degree,68075,3.3,3.4,4
27,1890,some high school,40708,3.7,3.3,5
31,2107,bachelor's degree,63807,4,3.6,4
32,1973,some high school,26998,3.9,3.2,7
22,1741,some high school,23342,3.1,2.9,5
26,1845,some high school,43544,3.3,3.1,6
30,2066,some high school,37154,3.9,3.3,5
32,2238,some college,67040,4,3.4,8
33,2235,master's degree,89681,4,3.5,4
25,1791,some college,74613,3.2,3.4,3
31,2140,associate's degree,81141,4,3.4,5
26,1876,master's degree,107772,3.5,3.6,3
25,1858,high school,19808,3.3,3,7
28,1957,some college,61898,3.8,3.2,4
28,1927,some high school,42087,3.7,3.3,6
30,2223,bachelor's degree,77522,4,3.8,6
26,1894,some high school,64787,3.4,3.4,5
30,1978,high school,75518,3.8,3.5,4
26,1781,some college,61086,3.3,3.1,5
30,2016,some high school,45635,3.8,3.3,5
32,2138,some high school,44272,3.9,3.1,6
27,1998,associate's degree,62484,3.7,3.2,6
27,1812,high school,59982,3.4,3.6,3
29,2008,some high school,58853,3.8,3.2,6
32,2130,associate's degree,83147,4,3.6,8
28,1941,associate's degree,76242,3.7,3.1,5
27,1960,some high school,55795,3.5,3.2,4
32,2134,associate's degree,81275,4,3.8,7
29,2044,some high school,42206,3.8,3.4,6
32,2096,associate's degree,82842,4,3.4,5
26,1739,some high school,55967,3.2,2.7,6
25,1875,master's degree,106590,3.5,3.7,6
33,2190,high school,62728,4,3.5,7
27,2009,associate's degree,86953,3.7,3.6,5
27,1913,some high school,47891,3.4,3,6
33,2160,associate's degree,51588,4,3.4,4
32,2165,master's degree,90597,4,3.5,8
28,2050,master's degree,96404,3.9,3.3,7
32,2130,some high school,61651,4,3.5,4
30,2094,associate's degree,91158,4,3.7,3
28,1919,some college,48334,3.7,3,6
32,2166,some college,47373,4,3.2,7
29,1911,some college,65177,3.7,3.2,7
29,1948,bachelor's degree,55973,3.7,3,5
27,1852,high school,65131,3.4,3.2,4
29,1947,some high school,59395,3.7,3.6,3
32,2067,high school,49096,3.9,3.6,5
31,2141,master's degree,113003,4,4,3
28,2104,associate's degree,58592,3.8,3.6,3
24,1873,some high school,42910,3.4,3.1,5
27,1996,high school,43380,3.6,3.4,5
29,2126,associate's degree,93716,4,3.3,5
27,1872,high school,55312,3.4,3.1,4
30,2044,high school,92002,3.9,3.4,5
28,1946,high school,69223,3.5,3.3,4
32,2146,high school,70427,4,3.2,5
29,1960,some high school,78268,3.5,3.7,3
32,2013,associate's degree,77104,3.9,3.5,4
27,1913,some high school,42210,3.6,3.2,7
30,2100,some college,77007,4,3.6,5
26,1891,some college,78680,3.4,3.2,4
31,2132,associate's degree,77774,4,3.7,4
30,2071,some college,51611,4,3.6,5
28,1891,associate's degree,66969,3.5,3.2,4
31,2155,some college,83137,4,3.2,5
27,1951,high school,32815,3.6,3.3,7
26,1916,high school,55434,3.4,3.2,4
26,1886,associate's degree,66471,3.4,3.2,8
27,1851,some high school,22366,3.5,3.3,4
28,1841,high school,57953,3.4,3.3,5
27,1871,some high school,59838,3.5,3.5,3
27,2027,some college,61399,3.7,3.2,4
31,2074,associate's degree,69795,4,3.3,5
29,2023,high school,75949,3.8,3.4,7
25,1690,some high school,22301,3.2,3,7
29,1913,high school,52879,3.7,3.4,4
27,1980,master's degree,108711,3.5,3.6,3
29,2133,bachelor's degree,93413,4,3.5,4
28,2089,some college,57503,3.8,3.2,4
30,1937,high school,62235,3.7,3.6,3
24,1788,high school,63950,3.1,3.2,5
29,2049,associate's degree,68912,3.9,3.7,5
30,2122,some college,60025,3.9,3.3,5
34,2226,some high school,61519,4,3.5,4
30,2083,master's degree,110075,4,3.9,6
31,2164,associate's degree,39115,4,3.1,6
33,2278,associate's degree,97150,4,3.6,7
27,1938,some college,55026,3.6,3.4,4
31,2286,some college,65925,4,3.7,6
29,1984,associate's degree,89577,3.8,3.6,5
27,2123,bachelor's degree,88873,3.9,3.7,7
28,1881,some college,73919,3.5,3.3,4
30,2114,associate's degree,86354,4,3.3,6
32,2155,associate's degree,51948,4,3.5,4
25,1789,associate's degree,66246,3.1,3.2,4
28,1943,some college,92986,3.7,3.5,5
30,2117,some college,84487,4,3.6,5
28,1870,some high school,35609,3.4,3.2,5
28,1963,master's degree,86578,3.7,3.2,5
31,2040,some college,52283,4,3.6,3
32,2149,some college,72701,4,3.6,4
31,2126,some college,58848,4,3.5,4
29,1992,associate's degree,70867,3.9,3.3,5
26,1936,bachelor's degree,73232,3.7,3.1,7
27,1977,some college,68295,3.8,3.5,6
26,2020,some college,70642,3.7,3.5,5
30,2067,associate's degree,98090,4,4,4
27,1940,associate's degree,63659,3.6,3.4,4
29,2049,associate's degree,83574,3.9,3.6,5
29,2016,some high school,61619,3.8,3.4,6
25,1771,high school,57738,3.1,2.9,7
32,2002,high school,42073,4,3.6,6
28,2084,some college,39773,4,3.1,7
30,2102,some high school,53889,3.9,3.5,5
26,2088,master's degree,97354,3.8,3.6,5
22,1753,some college,81035,3,3.4,3
27,1913,associate's degree,57200,3.6,3.3,4
24,1821,some college,73660,3.3,3.2,7
26,1960,associate's degree,90777,3.6,3.5,4
29,2086,some college,51937,3.9,3.5,5
23,1792,some college,77084,3.2,3.1,4
35,2254,bachelor's degree,83297,4,3.5,7
33,2248,bachelor's degree,68993,4,3.8,3
26,1889,high school,84219,3.4,3.1,6
23,1628,high school,76186,2.9,3.1,5
30,2086,some high school,75979,3.9,3.5,5
30,2105,high school,33643,3.9,3.4,5
28,1882,high school,58396,3.5,3.6,3
31,2180,associate's degree,82330,4,3.6,5
24,1779,some high school,63811,3.2,2.9,5
27,1845,some high school,62064,3.3,3.2,4
27,1899,high school,65685,3.6,3.6,3
28,1990,master's degree,97431,3.9,3.3,5
31,2178,high school,85522,4,3.5,7
31,2201,some college,93877,4,3.4,5
22,1679,some college,91768,3.2,3.2,5
25,1891,some high school,36183,3.5,3.2,5
25,1828,high school,57204,3.4,2.9,5
33,2136,associate's degree,73463,4,3.6,5
27,1978,some high school,63472,3.7,3.3,6
31,2119,associate's degree,101185,4,3.9,3
28,2077,bachelor's degree,54563,4,3.2,4
33,2236,bachelor's degree,81901,4,3.5,4
26,1698,some high school,39246,3.1,3.3,4
32,2056,associate's degree,76021,4,3.5,6
32,2077,high school,64586,4,3.6,4
27,1876,high school,71728,3.4,3.3,4
29,2084,bachelor's degree,75087,4,3.5,5
32,2019,some high school,63960,4,3.7,3
29,2041,some high school,17135,3.8,3.1,5
25,1804,some high school,31936,3.3,3.2,6
28,2008,some college,57702,3.8,3.1,5
28,1902,some high school,44144,3.7,3.3,5
29,2011,associate's degree,66125,3.8,3.3,4
28,1944,high school,62024,3.6,3.6,4
31,2080,some high school,65515,4,3.1,5
28,2012,some high school,42003,3.8,3.2,5
29,2031,some high school,33182,3.8,3.3,5
32,2180,some high school,43036,4,3.3,9
29,2039,bachelor's degree,104707,3.9,3.7,4
27,1986,some high school,39021,3.7,3.4,8
31,2265,associate's degree,92040,4,3.5,5
28,1900,some college,72618,3.5,3.5,3
28,2000,some college,57068,3.8,3.2,5
28,2022,some college,57699,3.9,3.2,4
28,1870,some high school,56588,3.7,3.1,6
31,2205,some college,71437,4,3.7,3
27,1890,high school,37296,3.5,2.9,6
26,2062,bachelor's degree,88320,3.8,3.2,5
22,1638,high school,72728,2.8,3,4
31,2208,associate's degree,81281,4,3.5,4
29,1913,some college,75170,3.5,3.3,4
32,2119,high school,95475,4,3.8,3
29,2160,some high school,52548,4,3.1,8
27,1953,associate's degree,81736,3.7,3.6,7
29,2055,master's degree,82234,4,3.4,4
28,1911,high school,92306,3.6,3.4,4
31,2055,some college,70321,4,3.2,6
31,2113,some high school,99915,4,3.7,6
30,1972,high school,60907,3.7,3.4,4
23,1701,associate's degree,69023,3.2,3.4,4
26,1917,some college,67203,3.6,3.2,5
27,1849,some high school,36423,3.4,2.9,6
29,2043,bachelor's degree,87332,3.9,3.8,3
33,2162,master's degree,113501,4,3.7,4
28,1910,associate's degree,71691,3.7,3.1,6
30,2099,associate's degree,90127,4,3.7,4
29,1974,bachelor's degree,51667,3.8,3.6,3
25,1829,some high school,41805,3.3,3.1,5
29,2074,bachelor's degree,72491,3.8,3.3,8
33,2308,bachelor's degree,117620,4,4,3
28,1961,high school,28981,3.7,3,6
31,2139,some college,85925,4,3.6,7
31,2091,some high school,74439,4,3.7,5
29,1998,associate's degree,72972,3.7,3.3,8
30,2112,some college,46398,4,3.3,6
29,1953,high school,75612,3.7,3.5,4
33,2319,master's degree,120000,4,3.8,6
32,2143,some high school,43758,4,3.2,5
29,2002,bachelor's degree,72854,3.8,3,9
27,1994,some high school,12472,3.7,3.1,6
26,1876,some college,48735,3.5,3.4,4
27,1852,some high school,45829,3.6,3,6
31,2119,some high school,54206,4,3.4,4
24,1838,some college,56980,3.4,3.4,4
29,2090,master's degree,102570,3.9,3.7,4
26,1899,master's degree,106309,3.5,3.4,5
28,1941,high school,69650,3.7,3.5,4
34,2298,some college,51676,4,3.6,4
23,1725,some high school,75306,3.1,3.5,3
33,2222,high school,51297,4,3.6,4
26,1894,associate's degree,62622,3.4,3.5,4
26,1948,bachelor's degree,78392,3.7,3.4,5
33,2216,associate's degree,66250,4,3.3,5
27,1932,high school,56262,3.6,2.9,5
26,1906,bachelor's degree,71364,3.5,3.1,5
27,1891,associate's degree,71709,3.5,3.6,6
27,1914,high school,60661,3.5,3.3,4
27,1859,associate's degree,93043,3.5,3.6,4
29,1927,high school,58502,3.6,3.5,4
25,1880,high school,45952,3.4,3.2,5
31,2127,high school,53593,4,3.3,4
29,1953,associate's degree,74721,3.7,3.6,6
28,2199,bachelor's degree,90715,4,3.5,4
30,1998,some college,70288,3.9,3.4,4
26,1945,associate's degree,100136,3.7,3.4,7
29,1985,master's degree,90130,3.8,3.5,4
27,2002,master's degree,97815,3.6,3.5,4
29,2011,some high school,29894,3.8,3.2,7
30,2064,high school,56279,3.9,3.3,4
31,2052,high school,68515,3.9,3.5,4
28,1994,some high school,51844,3.7,3.3,4
24,1855,high school,78812,3.3,3.3,4
26,1919,high school,55233,3.6,3.3,4
33,2230,associate's degree,57306,4,3.5,5
26,1882,some college,72094,3.4,3.3,4
29,2028,high school,33343,3.6,3.4,4
29,2080,bachelor's degree,79485,3.9,3.5,4
25,1845,some college,75947,3.3,3.1,5
29,2055,some college,64320,3.7,3.1,7
28,2060,some college,56065,3.8,3.4,4
31,2064,some college,35883,4,3.4,5
32,2141,some college,65699,4,3.5,4
30,2092,master's degree,78120,4,3.8,3
27,1872,high school,51121,3.4,3.2,8
22,1772,some high school,55347,3,3.2,8
27,1818,some high school,64938,3.4,3.4,7
24,1640,some high school,49694,3,3,5
29,2039,some college,58318,3.7,3.6,4
25,1934,associate's degree,82370,3.5,3.3,6
28,1908,some high school,63248,3.6,3.4,4
32,2140,bachelor's degree,77323,4,3.8,3
30,2180,associate's degree,75528,4,3.6,4
29,1995,associate's degree,40170,3.8,3,6
32,2208,some college,58887,4,3.6,5
27,1820,high school,73672,3.4,3.2,4
32,2223,master's degree,104801,4,3.7,5
28,1881,associate's degree,62391,3.6,3.2,8
28,2024,associate's degree,62082,3.8,3.2,5
28,2018,bachelor's degree,50830,3.8,3.6,3
27,1890,high school,34079,3.5,3.4,5
31,2139,associate's degree,57207,4,3.5,4
26,2032,some college,84232,3.7,3.1,5
32,2150,associate's degree,62769,4,3.2,5
26,1855,some college,96508,3.4,3.2,7
30,2187,bachelor's degree,107964,4,3.7,4
27,1875,high school,52393,3.3,3.2,4
28,1888,high school,52867,3.4,3.1,4
33,2174,high school,49842,4,3.5,6
31,2133,some college,52605,4,3.3,4
29,2104,some college,75885,4,3.5,5
26,1950,high school,58320,3.5,2.8,7
28,2059,bachelor's degree,94104,3.9,3.6,5
24,1770,high school,37950,3.3,3.3,5
32,2088,associate's degree,59376,4,3.5,4
30,2101,master's degree,84018,4,3.5,4
33,2269,some college,62388,4,3.6,4
32,2194,bachelor's degree,93072,4,3.8,3
26,1994,some high school,47039,3.7,3,6
26,1832,some college,57683,3.5,2.9,6
26,1843,some college,55488,3.4,3.2,5
27,1963,some college,52664,3.7,3.1,5
31,2178,bachelor's degree,63478,4,3.3,4
26,1911,some high school,47145,3.5,3,6
26,1836,associate's degree,37669,3.3,2.9,7
33,2112,associate's degree,58574,4,3.7,3
27,1958,some college,53466,3.6,3.4,6
26,1848,high school,24929,3.4,3.2,7
33,2220,bachelor's degree,83465,4,3.4,5
27,1925,some college,47003,3.5,3.2,8
28,1926,some high school,42676,3.7,3.3,6
30,2047,bachelor's degree,81034,3.9,3.3,4
27,1949,associate's degree,60795,3.7,3.6,3
32,2153,some high school,33474,4,3.5,7
26,1855,some college,79151,3.4,3.5,3
27,1786,some college,44271,3.4,3.1,7
31,2130,master's degree,73617,4,3.1,5
33,2207,bachelor's degree,52164,4,3.7,3
28,1998,some high school,73934,3.7,3.6,6
33,2099,high school,51016,4,3.3,5
29,1994,some college,32404,3.9,3,9
26,1745,some college,69820,3.3,3.6,6
26,1911,some high school,35007,3.7,3.2,5
30,2057,associate's degree,96662,3.9,3.6,4
30,2044,high school,22875,3.9,3.2,7
30,1976,some college,59076,3.7,3.3,4
30,2051,master's degree,79589,4,3.7,3
28,2096,bachelor's degree,94818,4,3.7,3
30,2141,bachelor's degree,56425,4,3.3,4
29,1855,associate's degree,62680,3.5,3,5
28,1997,some college,68339,3.8,3.4,6
24,1830,high school,42734,3.2,2.8,6
30,2161,associate's degree,101906,4,3.8,4
27,1967,some college,54568,3.7,3.2,4
27,1993,some college,44269,3.6,3.1,6
35,2234,high school,70282,4,3.5,7
26,1776,bachelor's degree,68973,3.4,3.2,4
27,1851,associate's degree,60468,3.5,3.1,7
32,2185,associate's degree,59158,4,3.5,5
30,2078,associate's degree,62621,4,3.4,6
26,1902,some college,90030,3.6,3.5,7
27,1859,high school,84406,3.3,3.1,5
27,1922,some college,44495,3.6,2.7,8
30,2095,associate's degree,85415,3.8,3.4,6
26,2000,bachelor's degree,74918,3.7,3.1,7
29,1970,high school,41729,3.8,3.2,5
28,1921,high school,58773,3.7,3.3,5
32,2204,bachelor's degree,85012,4,3.5,7
29,1996,master's degree,93144,3.8,3.6,5
24,1774,high school,48872,3.3,3.1,5
29,2057,some college,52329,3.8,3.3,4
28,2055,bachelor's degree,95440,3.9,3.7,6
32,2204,bachelor's degree,65922,4,3.5,7
22,1673,high school,52920,2.9,3.4,3
31,2051,high school,63166,3.8,3.6,5
28,1977,bachelor's degree,92049,3.7,3.6,3
31,2060,associate's degree,57130,4,3.7,3
33,2318,associate's degree,57850,4,3.7,5
31,2163,some college,65366,4,3.4,6
30,2005,high school,56470,3.7,2.8,6
32,2218,associate's degree,66843,4,3.8,4
27,1972,bachelor's degree,93595,3.7,3.7,3
27,2002,associate's degree,88779,3.7,3.6,6
30,2088,high school,79297,3.9,3.7,7
31,2225,master's degree,98085,4,3.8,5
29,2059,some high school,36676,4,3.2,8
29,1873,high school,57089,3.4,3.2,5
23,1730,high school,51352,3,3.1,4
30,2028,associate's degree,63865,3.8,3.2,6
34,2168,associate's degree,72531,4,3.5,4
27,1860,some high school,44846,3.5,3.1,5
26,1821,some college,85810,3.3,3.4,4
29,2017,some high school,49499,3.9,3.1,6
24,1699,high school,62326,3.1,2.8,7
29,2098,some high school,64615,3.9,3.3,4
28,1966,some high school,45646,3.7,3.2,5
26,1890,some high school,24866,3.4,3,5
26,1868,high school,62928,3.4,3.1,9
32,2124,associate's degree,65147,4,3.8,4
26,1822,associate's degree,92430,3.2,3.6,3
30,1986,some high school,37471,3.7,2.9,8
26,1945,some college,63884,3.5,3.5,5
28,1960,some college,69492,3.8,3.4,5
24,1897,bachelor's degree,91382,3.5,3.2,6
22,1645,high school,44885,3,2.8,6
28,1948,high school,47457,3.6,3.2,7
25,1927,some college,53220,3.4,3.1,4
26,1825,high school,69012,3.5,3.3,4
28,1939,some college,87260,3.7,3.5,4
29,2002,some college,41161,3.9,3.3,5
30,1965,some high school,62503,3.8,2.9,9
28,1961,some college,25822,3.5,2.9,5
25,1761,high school,62618,3.2,3.2,4
28,1895,some high school,53818,3.7,3.5,4
26,1903,some college,79014,3.7,3.4,4
27,1997,bachelor's degree,65241,3.8,3.3,7
26,1875,some college,80648,3.4,3.2,4
24,1732,some high school,61634,3.3,3.3,4
30,1979,high school,63303,3.9,3.5,4
26,1871,some high school,50901,3.5,3,9
29,2006,high school,46066,3.8,3.4,9
29,1938,some high school,54353,3.7,3.4,4
30,2070,some college,64402,3.9,3.6,4
27,2027,some college,84743,3.7,3.4,4
24,1718,high school,64061,3,2.9,6
29,2033,associate's degree,66403,3.9,3.2,5
22,1553,high school,48457,2.7,2.6,6
30,2023,some high school,37118,4,3.5,6
27,1892,associate's degree,75686,3.6,3.6,3
28,1930,high school,67822,3.5,3.6,4
27,1881,some high school,53577,3.6,3.3,4
29,2039,some college,66330,4,3.7,5
31,2156,some high school,52087,4,3.5,7
28,1960,some college,54874,3.7,3.3,6
29,2045,some college,54549,3.8,3.2,5
24,1830,associate's degree,81477,3.5,3.1,7
32,2110,associate's degree,33065,4,3,7
29,1957,master's degree,81773,3.9,3.2,5
31,2129,some college,74187,4,3.7,7
29,1955,high school,81785,3.6,3.3,5
26,1946,some college,71742,3.6,3.4,4
30,2139,bachelor's degree,91761,4,3.7,4
26,1868,some college,87830,3.5,3.1,6
24,1868,some college,58370,3.2,3.1,4
30,2071,associate's degree,99557,4,3.7,5
27,1954,high school,63135,3.5,3.2,5
29,2123,master's degree,58347,4,3.3,4
26,1898,bachelor's degree,99199,3.5,3.3,5
27,1901,some high school,63743,3.4,2.9,5
28,1917,high school,71827,3.7,3.4,4
26,1949,high school,59828,3.7,3.3,5
30,2080,high school,39829,3.9,2.9,9
32,2166,master's degree,77864,4,3.6,4
28,1973,some college,43297,3.8,3.2,5
26,1823,some high school,37206,3.2,3.2,5
27,1944,some high school,79616,3.6,3.4,4
29,1991,associate's degree,64330,3.8,3.7,3
29,2050,bachelor's degree,77797,3.8,3.1,5
25,1700,high school,46964,3.1,3.1,8
29,1989,some high school,71038,3.8,3.6,4
24,1725,some high school,43144,3.1,3.1,5
27,1788,high school,67967,3.4,3.4,4
30,2049,some college,71905,3.8,3.1,9
36,2310,associate's degree,73024,4,3.8,3
25,1902,some college,36320,3.3,3.3,4
29,1999,associate's degree,65972,3.8,3.4,4
28,1901,high school,71615,3.7,3.5,4
30,2076,some high school,47682,4,3.4,5
30,1978,high school,62487,3.8,3.6,3
24,1891,some college,80199,3.4,3.3,4
28,2020,high school,53990,3.7,3.3,6
35,2198,some college,46321,4,3.4,5
27,2082,some college,56970,3.9,3.4,4
30,1980,associate's degree,77481,3.8,3.2,7
30,1922,some high school,75903,3.7,3.4,4
30,1981,some high school,45252,3.8,3.2,6
28,1849,some college,56326,3.6,3.2,7
22,1604,some high school,54678,2.8,2.8,6
28,1990,high school,55199,3.5,3.1,5
29,1946,some high school,35839,3.7,3.2,5
26,2002,some college,53957,3.6,3.3,4
28,1912,some high school,51701,3.5,3.4,4
28,1934,some high school,20420,3.7,3,9
29,2019,high school,48339,3.8,3.1,6
24,1786,high school,52423,3.3,3.1,8
31,2114,associate's degree,75359,4,3.6,6
27,1984,some high school,65489,3.8,3.5,4
31,2013,some college,62503,3.8,3.4,8
28,1919,high school,63907,3.6,3.2,5
31,2087,bachelor's degree,87574,4,3.4,5
31,2178,some college,74470,4,3.7,6
27,1912,high school,36782,3.6,3.3,5
30,2082,associate's degree,78925,4,3.6,4
26,1874,associate's degree,101565,3.4,3.3,8
27,1743,bachelor's degree,67268,3.4,3.5,3
27,1747,some high school,30989,3.2,3.2,5
28,2005,associate's degree,113063,3.9,3.5,4
24,1838,high school,65992,3.3,3.6,3
28,1992,associate's degree,90441,3.8,3.6,7
32,2058,some high school,35319,3.9,3.4,5
31,2025,high school,54834,3.9,3.5,4
30,2128,some college,81728,4,3.6,6
30,2051,master's degree,86549,4,3.7,5
24,1769,some college,57024,3.3,3.4,6
28,1923,high school,46182,3.6,3.3,5
31,2053,associate's degree,94395,3.9,3.8,3
29,2024,associate's degree,63616,3.9,3.4,4
32,2231,bachelor's degree,95017,4,3.7,6
30,2110,high school,60679,4,3.4,4
29,2092,bachelor's degree,59633,4,3.5,4
34,2230,associate's degree,87432,4,3.6,4
29,1869,high school,84562,3.4,3.3,8
28,1956,high school,50799,3.6,3.5,5
27,1776,some high school,25148,3.3,2.9,5
32,2025,some high school,43773,3.9,3.1,6
29,2048,some college,65177,3.7,3.3,7
31,2180,associate's degree,85411,4,3.7,4
26,1704,some high school,68813,3.3,3.5,4
27,1893,some high school,45404,3.3,3.2,5
32,2215,high school,50053,4,3.7,4
22,1723,some college,77272,3.2,3,7
29,2046,associate's degree,106386,4,3.6,4
28,1890,some high school,46082,3.4,3.1,5
29,2135,some college,78008,3.9,3.6,4
30,2103,bachelor's degree,94618,4,3.4,5
25,1929,bachelor's degree,65125,3.5,3.2,4
26,1884,some high school,40178,3.3,2.9,6
29,2004,some high school,27940,3.8,3.2,5
25,1852,some high school,55913,3.3,3.1,8
29,1988,high school,53104,3.9,3.4,5
25,1953,master's degree,89820,3.6,3.4,5
29,2026,some college,68980,3.9,3.2,5
26,1852,high school,55183,3.4,3.4,4
32,2165,associate's degree,108602,4,3.4,5
25,1831,high school,65864,3.3,3.2,5
29,1923,associate's degree,73893,3.5,3.5,3
27,2016,some college,89314,3.8,3.5,4
30,2188,master's degree,56530,4,3.3,4
26,1883,high school,47487,3.3,3.2,5
27,1910,some high school,41473,3.7,3.4,4
26,1796,some high school,58956,3.3,3.1,4
29,2066,some high school,63682,3.9,3.2,5
30,2022,high school,51232,3.8,3.1,5
31,2144,associate's degree,86652,4,3.5,6
29,2038,some college,60294,3.9,3.2,4
29,1901,associate's degree,71771,3.6,3.2,5
28,2044,some college,51079,3.8,3.6,3
29,2049,associate's degree,94189,3.9,3.3,5
28,1996,some college,52273,3.8,3.6,6
28,1970,some high school,37379,3.7,3.1,5
25,1719,some high school,62345,3.2,3.2,4
25,1816,some high school,72664,3.3,3.3,4
25,1982,some college,54833,3.6,3.2,4
27,2054,bachelor's degree,93551,3.8,3.6,4
26,1821,some high school,41476,3.3,3.2,5
24,1772,associate's degree,77791,3.3,3.5,3
28,1909,some college,82285,3.6,3.2,4
30,2137,high school,65580,4,3.4,5
31,2132,bachelor's degree,77263,4,3.3,6
26,1899,high school,65463,3.6,3.6,3
26,1980,associate's degree,71497,3.6,3.1,9
27,1995,some college,56459,3.7,3.2,5
25,1730,some high school,31194,3.1,3,5
30,2084,some college,23730,4,3.1,5
26,1826,associate's degree,69239,3.4,3.4,4
28,1942,high school,76590,3.5,3.4,4
32,2204,some college,72827,4,3.8,3
28,1874,high school,50679,3.5,3,5
25,1766,high school,56646,3.2,3.4,4
28,1919,bachelor's degree,106244,3.6,3.4,4
29,2007,some college,75676,3.9,3.4,5
32,2154,some high school,56546,4,3.7,4
27,1846,high school,52269,3.5,3.5,5
27,1973,associate's degree,59671,3.6,3.6,3
30,2164,bachelor's degree,66860,4,3.2,7
30,2026,master's degree,79933,3.9,3.3,7
27,1975,bachelor's degree,70679,3.6,3,6
33,2137,associate's degree,87983,4,3.7,7
