gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group A,some college,standard,none,72,85,82
female,group B,some high school,free/reduced,completed,31,47,50
female,group D,master's degree,standard,none,78,82,84
male,group B,some college,standard,none,81,78,75
female,group A,master's degree,standard,completed,70,75,75
female,group D,high school,standard,none,70,82,73
female,group C,associate's degree,free/reduced,none,55,62,58
male,group E,some college,free/reduced,none,94,75,80
female,group C,some college,free/reduced,completed,49,72,70
female,group B,associate's degree,standard,completed,78,79,82
male,group C,some high school,standard,completed,58,59,53
male,group D,some college,free/reduced,none,53,47,50
female,group C,associate's degree,standard,none,62,79,73
male,group B,high school,free/reduced,none,46,51,48
female,group D,associate's degree,standard,completed,90,95,100
female,group D,some high school,free/reduced,none,38,53,52
male,group B,some college,free/reduced,none,67,67,61
male,group B,master's degree,free/reduced,none,60,54,50
male,group E,associate's degree,standard,none,91,78,74
female,group E,some high school,standard,none,91,93,91
male,group D,associate's degree,standard,none,66,59,56
female,group D,bachelor's degree,free/reduced,completed,70,74,82
male,group C,associate's degree,free/reduced,completed,66,82,75
female,group B,high school,free/reduced,completed,63,75,79
male,group E,some college,standard,completed,75,77,72
female,group C,some college,standard,none,39,44,49
male,group C,master's degree,free/reduced,completed,96,94,92
male,group C,some high school,standard,completed,74,63,59
male,group D,some college,free/reduced,completed,78,79,72
female,group B,some college,free/reduced,none,37,50,42
male,group C,some high school,standard,none,37,28,33
female,group C,some high school,free/reduced,none,25,49,44
male,group B,associate's degree,standard,none,67,60,57
female,group C,associate's degree,standard,none,79,84,82
male,group A,bachelor's degree,standard,none,49,48,43
male,group D,bachelor's degree,free/reduced,none,83,82,78
male,group D,some college,standard,none,49,40,45
male,group B,master's degree,standard,completed,89,89,94
male,group C,bachelor's degree,standard,completed,64,70,65
female,group C,some high school,standard,none,70,66,67
male,group E,high school,standard,none,74,69,62
female,group C,some high school,standard,none,25,33,38
male,group C,some high school,standard,completed,49,45,46
male,group C,associate's degree,free/reduced,completed,55,49,50
female,group D,associate's degree,free/reduced,none,57,66,65
female,group B,some college,free/reduced,none,71,82,82
male,group C,some college,standard,none,62,57,58
male,group B,some high school,standard,completed,82,70,75
male,group B,master's degree,standard,none,48,42,43
female,group B,bachelor's degree,free/reduced,none,12,19,28
female,group D,bachelor's degree,free/reduced,none,47,68,67
female,group C,high school,free/reduced,none,44,53,49
female,group B,some college,standard,none,53,69,63
male,group C,some high school,free/reduced,completed,70,80,83
female,group C,associate's degree,standard,completed,66,80,77
male,group E,some college,standard,none,89,75,74
male,group D,some college,free/reduced,none,45,54,49
female,group E,some college,free/reduced,completed,57,63,66
male,group B,some high school,standard,none,55,56,41
male,group C,associate's degree,standard,none,49,48,44
male,group D,some college,standard,none,37,34,34
female,group C,bachelor's degree,free/reduced,none,19,38,33
female,group E,some high school,standard,none,67,69,62
female,group C,associate's degree,free/reduced,completed,73,83,84
female,group C,high school,standard,none,68,74,77
female,group A,associate's degree,free/reduced,none,57,55,58
male,group A,some college,standard,none,71,76,67
male,group E,high school,standard,completed,61,56,61
female,group D,master's degree,standard,completed,91,100,100
female,group B,associate's degree,standard,none,76,95,94
female,group E,some college,standard,completed,95,95,95
female,group D,some high school,standard,completed,67,67,75
male,group A,high school,standard,completed,62,60,61
female,group D,high school,free/reduced,none,39,44,45
female,group B,bachelor's degree,standard,none,94,100,100
female,group D,some high school,standard,completed,66,67,70
male,group E,some high school,standard,none,90,80,77
female,group C,associate's degree,standard,none,56,66,58
male,group D,some college,standard,completed,79,80,81
male,group C,high school,standard,completed,72,72,76
female,group B,some college,standard,none,74,77,79
female,group B,associate's degree,standard,completed,58,69,72
female,group C,some college,standard,none,61,77,77
male,group D,associate's degree,standard,none,66,56,60
female,group C,associate's degree,free/reduced,completed,44,54,55
male,group E,bachelor's degree,free/reduced,none,71,61,57
male,group C,master's degree,standard,completed,89,79,81
male,group D,high school,standard,none,77,71,72
female,group C,associate's degree,standard,none,74,81,78
female,group C,some college,standard,none,56,63,63
male,group A,associate's degree,standard,none,81,75,72
female,group E,high school,standard,none,74,89,81
female,group E,high school,free/reduced,none,53,66,60
female,group C,some college,standard,none,82,87,90
male,group B,high school,free/reduced,completed,30,39,30
female,group D,some high school,standard,none,59,66,66
male,group C,associate's degree,standard,none,49,38,42
male,group B,some college,standard,completed,99,92,95
male,group C,bachelor's degree,standard,none,69,58,56
female,group B,high school,free/reduced,none,64,69,71
female,group E,high school,free/reduced,none,54,72,69
male,group A,some high school,standard,none,55,59,57
male,group B,some college,free/reduced,none,58,47,45
female,group D,some college,standard,none,51,65,59
male,group A,bachelor's degree,standard,none,57,52,47
male,group C,high school,standard,completed,65,58,62
male,group D,master's degree,standard,none,100,91,94
female,group C,high school,standard,none,60,83,78
female,group D,associate's degree,standard,none,78,87,76
male,group E,high school,standard,none,56,55,46
female,group C,high school,standard,none,55,61,60
female,group E,high school,standard,completed,73,86,82
female,group E,associate's degree,standard,none,74,83,75
male,group C,some high school,free/reduced,none,35,42,37
female,group B,associate's degree,standard,none,91,91,94
male,group A,associate's degree,standard,none,79,77,69
female,group D,some college,free/reduced,completed,80,94,99
female,group C,high school,standard,none,69,66,66
male,group D,some college,standard,none,100,89,90
female,group C,associate's degree,free/reduced,completed,61,77,74
male,group B,some college,free/reduced,none,58,52,59
female,group D,bachelor's degree,standard,completed,80,99,94
female,group E,high school,standard,none,72,73,75
female,group D,some college,standard,none,63,64,61
male,group D,some college,standard,completed,100,94,100
female,group B,bachelor's degree,standard,completed,80,84,92
male,group C,master's degree,free/reduced,completed,72,73,76
male,group D,some college,standard,none,73,67,67
female,group D,associate's degree,standard,none,75,86,85
female,group D,some college,standard,none,67,70,70
male,group D,some college,standard,completed,95,97,94
female,group B,bachelor's degree,standard,completed,62,77,80
female,group D,high school,standard,none,45,47,51
female,group B,some college,standard,completed,87,100,97
male,group C,high school,standard,none,47,53,50
male,group C,some high school,standard,none,70,68,64
male,group D,associate's degree,free/reduced,none,51,45,45
male,group C,some college,standard,none,64,58,54
female,group B,some college,free/reduced,none,38,52,54
male,group D,high school,standard,none,49,44,43
male,group B,some college,standard,completed,79,68,69
female,group D,some college,standard,none,82,79,82
male,group B,some high school,free/reduced,none,37,35,28
female,group E,high school,standard,none,61,77,68
male,group E,some high school,free/reduced,completed,54,43,46
male,group A,high school,standard,none,46,40,39
female,group C,master's degree,free/reduced,none,81,88,90
female,group C,bachelor's degree,standard,completed,51,69,74
male,group D,some high school,standard,none,57,62,58
male,group E,some college,free/reduced,none,60,59,53
female,group B,high school,free/reduced,none,63,71,70
female,group B,associate's degree,free/reduced,completed,38,45,46
female,group E,associate's degree,standard,none,78,84,76
female,group C,some college,standard,none,59,74,68
male,group D,high school,free/reduced,none,85,78,79
female,group C,master's degree,standard,none,68,88,77
female,group A,some high school,free/reduced,completed,32,50,44
male,group B,some high school,standard,completed,81,85,85
male,group E,some college,standard,none,88,81,76
female,group E,some college,standard,completed,77,76,84
male,group C,some college,standard,completed,83,83,83
male,group B,high school,standard,completed,72,67,72
female,group B,some high school,free/reduced,none,64,75,69
male,group B,associate's degree,free/reduced,none,52,62,52
male,group D,some college,standard,none,78,63,62
male,group D,master's degree,standard,none,70,56,59
female,group E,associate's degree,standard,completed,95,100,100
female,group B,bachelor's degree,standard,none,69,72,66
female,group D,some college,standard,none,57,63,69
male,group E,high school,standard,none,66,67,65
female,group D,some college,standard,completed,62,73,80
female,group D,master's degree,free/reduced,none,69,78,75
male,group D,some high school,standard,none,62,58,53
male,group D,some high school,standard,none,65,59,57
female,group C,some college,free/reduced,none,62,73,68
female,group C,master's degree,standard,none,67,68,73
male,group D,some college,free/reduced,completed,51,52,50
female,group B,some college,standard,completed,51,59,65
female,group E,associate's degree,free/reduced,none,69,83,80
female,group D,some high school,free/reduced,none,66,76,74
male,group B,some college,standard,completed,96,93,89
female,group B,bachelor's degree,standard,none,67,73,80
female,group C,bachelor's degree,free/reduced,completed,49,57,60
male,group C,high school,standard,none,60,49,39
female,group C,master's degree,standard,none,75,88,93
female,group C,associate's degree,free/reduced,none,51,70,67
male,group D,some college,standard,completed,75,75,79
male,group C,associate's degree,free/reduced,completed,59,59,53
male,group C,master's degree,standard,none,64,69,68
female,group A,high school,standard,none,55,71,64
male,group C,associate's degree,standard,none,87,83,79
female,group D,associate's degree,free/reduced,none,46,58,64
female,group C,associate's degree,free/reduced,completed,75,81,85
female,group E,high school,standard,completed,90,96,98
male,group B,some high school,free/reduced,none,57,55,53
male,group C,high school,free/reduced,none,46,50,42
male,group B,high school,standard,none,57,52,48
male,group B,high school,standard,none,72,76,67
female,group B,some college,standard,completed,47,60,58
male,group D,master's degree,standard,none,78,80,78
female,group B,some high school,free/reduced,completed,79,85,89
male,group D,some college,free/reduced,none,65,65,60
female,group D,some college,free/reduced,none,45,48,50
female,group C,bachelor's degree,standard,none,71,73,74
female,group C,some high school,free/reduced,completed,50,67,66
female,group D,some high school,standard,completed,72,71,81
male,group E,some high school,free/reduced,none,63,51,54
female,group C,high school,standard,none,68,78,76
female,group C,some college,free/reduced,none,36,52,55
female,group D,bachelor's degree,standard,none,65,66,77
female,group C,some college,standard,none,77,81,72
male,group A,some high school,free/reduced,none,67,66,62
female,group C,master's degree,standard,none,91,93,96
male,group C,some college,free/reduced,none,46,48,39
male,group D,master's degree,free/reduced,none,64,66,65
male,group E,high school,standard,none,66,64,57
male,group A,associate's degree,free/reduced,completed,70,76,73
male,group C,associate's degree,standard,none,71,75,67
male,group B,some high school,standard,none,81,78,77
male,group C,associate's degree,standard,none,62,58,54
female,group B,some high school,standard,none,44,64,59
female,group C,some college,standard,none,87,94,94
male,group B,high school,free/reduced,none,76,66,65
male,group E,master's degree,standard,none,77,63,70
female,group B,high school,standard,completed,79,84,81
male,group C,high school,standard,none,67,68,60
female,group B,some high school,free/reduced,none,37,51,46
female,group E,associate's degree,free/reduced,none,52,51,56
male,group B,some college,standard,none,76,71,63
male,group C,some college,free/reduced,completed,79,76,79
female,group C,master's degree,free/reduced,completed,43,58,61
male,group B,bachelor's degree,standard,none,66,65,60
female,group A,some college,standard,none,64,73,73
male,group B,associate's degree,standard,none,83,88,83
male,group D,some high school,standard,none,56,59,50
male,group C,high school,free/reduced,none,54,64,58
female,group D,bachelor's degree,free/reduced,completed,66,89,92
female,group D,some high school,free/reduced,none,45,47,53
female,group B,some high school,standard,none,72,70,72
male,group E,associate's degree,standard,none,54,42,42
male,group C,some college,free/reduced,completed,73,67,72
male,group D,high school,standard,completed,85,73,76
female,group D,associate's degree,standard,completed,87,100,98
female,group C,some college,free/reduced,none,33,48,50
male,group C,some high school,standard,none,46,43,43
female,group C,some high school,free/reduced,none,53,62,56
male,group C,some college,free/reduced,none,51,59,53
female,group D,associate's degree,standard,none,71,72,73
male,group E,some high school,free/reduced,none,70,69,58
male,group C,bachelor's degree,standard,completed,88,67,73
female,group A,associate's degree,standard,none,82,91,89
male,group B,high school,free/reduced,completed,58,64,64
male,group B,some high school,free/reduced,none,63,67,64
male,group D,some college,free/reduced,none,64,65,61
female,group E,some college,free/reduced,none,46,51,52
male,group B,high school,standard,completed,58,56,56
female,group E,high school,standard,none,74,70,81
female,group C,some high school,standard,none,64,62,60
male,group A,bachelor's degree,standard,completed,88,86,89
female,group D,high school,standard,completed,53,62,59
female,group B,bachelor's degree,standard,none,62,71,73
male,group A,some high school,standard,none,64,64,57
female,group D,bachelor's degree,standard,none,72,85,87
female,group B,high school,free/reduced,none,54,77,71
male,group D,some college,free/reduced,none,76,79,69
male,group B,some college,free/reduced,none,53,60,55
male,group C,some high school,standard,none,78,76,69
female,group E,bachelor's degree,standard,none,83,97,89
male,group D,bachelor's degree,standard,none,78,72,71
female,group C,master's degree,standard,completed,79,97,98
female,group E,high school,free/reduced,none,66,82,78
male,group D,some high school,standard,none,72,68,66
male,group D,some college,standard,none,60,52,52
female,group C,some college,free/reduced,none,46,60,59
female,group C,some college,standard,none,63,62,61
male,group D,bachelor's degree,standard,none,58,58,61
male,group E,some college,standard,none,88,89,81
male,group E,some high school,standard,none,56,46,39
female,group C,some high school,free/reduced,none,55,70,70
male,group C,some college,standard,none,40,39,32
female,group E,bachelor's degree,free/reduced,none,56,75,66
female,group D,associate's degree,standard,completed,80,85,92
female,group E,some high school,standard,none,62,73,72
female,group D,some college,standard,none,73,77,82
female,group A,some high school,standard,none,48,55,58
female,group C,some college,standard,completed,62,76,78
male,group B,associate's degree,standard,completed,74,68,71
male,group E,some high school,standard,completed,100,92,91
male,group D,high school,standard,completed,90,89,83
female,group D,bachelor's degree,standard,none,74,83,84
male,group D,some college,standard,none,51,61,54
male,group C,some college,free/reduced,none,55,58,47
female,group C,high school,standard,completed,55,70,69
male,group D,associate's degree,free/reduced,none,57,61,59
female,group D,some college,standard,none,77,85,83
female,group B,some college,free/reduced,completed,43,59,56
female,group A,some high school,standard,completed,92,95,94
female,group D,some high school,standard,none,59,64,68
female,group B,high school,standard,completed,72,79,80
female,group D,high school,standard,completed,63,61,68
female,group E,high school,standard,none,80,87,84
male,group E,some college,standard,none,73,71,66
female,group D,bachelor's degree,free/reduced,none,67,78,81
male,group E,master's degree,standard,none,82,76,71
male,group C,bachelor's degree,standard,none,67,62,62
female,group C,associate's degree,standard,none,54,66,69
female,group D,bachelor's degree,free/reduced,none,66,77,75
female,group E,some college,free/reduced,none,39,62,51
female,group D,high school,free/reduced,none,58,72,69
male,group D,some college,standard,completed,74,67,75
male,group B,high school,free/reduced,none,52,43,37
male,group E,some high school,free/reduced,completed,66,65,58
female,group C,high school,standard,completed,84,92,89
male,group C,master's degree,standard,none,84,74,72
male,group B,associate's degree,standard,completed,63,70,70
male,group D,high school,standard,none,73,66,69
female,group B,some college,standard,completed,71,83,73
female,group A,associate's degree,standard,completed,76,93,91
female,group B,some high school,standard,completed,40,41,52
male,group B,high school,standard,none,96,77,76
female,group C,some high school,standard,completed,82,83,80
male,group C,some college,free/reduced,completed,75,73,78
female,group C,associate's degree,standard,none,76,85,81
male,group C,associate's degree,standard,completed,77,77,73
female,group E,associate's degree,standard,none,79,83,85
male,group D,associate's degree,standard,completed,97,85,91
female,group C,master's degree,standard,none,73,84,83
male,group D,high school,standard,none,71,63,66
female,group D,associate's degree,standard,none,62,66,65
male,group D,some college,standard,none,55,43,48
male,group D,associate's degree,standard,none,97,89,89
male,group A,associate's degree,free/reduced,none,47,49,43
female,group A,some college,standard,completed,45,57,56
female,group C,some high school,free/reduced,completed,44,72,64
male,group E,some college,standard,completed,85,72,73
male,group A,bachelor's degree,free/reduced,completed,57,67,61
male,group C,master's degree,standard,none,68,59,61
male,group A,master's degree,free/reduced,none,57,63,56
female,group D,associate's degree,standard,none,78,89,93
male,group C,bachelor's degree,free/reduced,none,55,60,56
male,group C,some college,standard,none,76,69,60
male,group C,some college,standard,none,56,60,53
female,group D,some high school,free/reduced,none,34,45,44
male,group A,some high school,free/reduced,completed,59,63,57
female,group E,some high school,free/reduced,none,41,53,39
male,group C,master's degree,standard,completed,63,58,59
female,group C,some college,standard,none,52,62,57
male,group C,bachelor's degree,standard,none,68,49,59
female,group D,associate's degree,standard,completed,73,89,89
male,group C,some high school,standard,none,77,81,71
female,group D,bachelor's degree,free/reduced,none,56,65,62
male,group B,associate's degree,free/reduced,completed,66,61,62
female,group E,some high school,standard,none,89,88,79
female,group E,some college,standard,none,77,75,76
female,group D,some college,free/reduced,none,48,56,53
male,group A,high school,standard,none,56,56,52
female,group D,some high school,free/reduced,none,60,69,66
female,group C,some high school,standard,none,65,72,74
male,group D,some college,standard,completed,54,44,50
female,group B,some college,standard,completed,56,66,66
female,group B,master's degree,standard,completed,73,89,89
male,group E,high school,free/reduced,none,77,62,57
male,group C,some college,standard,none,90,84,82
female,group E,associate's degree,free/reduced,none,73,76,76
male,group D,some college,free/reduced,none,43,42,37
male,group B,high school,standard,none,75,76,69
male,group B,bachelor's degree,standard,none,29,33,29
male,group A,some college,standard,none,88,70,73
female,group C,some college,standard,none,68,85,79
male,group C,some high school,standard,none,80,74,69
female,group E,some college,standard,completed,80,90,95
female,group C,some college,free/reduced,none,44,53,53
male,group D,some high school,standard,completed,81,76,83
male,group C,high school,free/reduced,none,68,68,58
male,group B,associate's degree,free/reduced,completed,72,75,79
male,group D,bachelor's degree,standard,completed,75,70,79
male,group A,some high school,free/reduced,none,40,36,36
male,group E,associate's degree,standard,none,71,73,63
male,group C,high school,standard,none,49,53,51
male,group C,bachelor's degree,standard,none,62,56,51
female,group D,associate's degree,free/reduced,none,44,49,51
male,group C,some high school,free/reduced,none,43,37,39
male,group A,associate's degree,free/reduced,completed,61,58,58
female,group B,high school,free/reduced,none,40,54,46
female,group D,associate's degree,standard,none,71,75,85
male,group D,some high school,free/reduced,completed,66,66,70
male,group D,some college,free/reduced,none,44,47,44
male,group E,some high school,free/reduced,none,68,72,62
female,group E,bachelor's degree,standard,none,91,94,95
female,group C,some college,standard,completed,75,82,87
male,group C,bachelor's degree,standard,none,81,72,67
male,group C,some high school,standard,completed,58,70,65
female,group D,high school,standard,none,49,62,53
female,group B,associate's degree,standard,completed,88,97,98
female,group C,associate's degree,standard,none,58,64,70
male,group D,some high school,standard,none,75,71,71
male,group C,some college,standard,none,51,47,52
male,group B,some college,standard,none,78,78,72
female,group D,associate's degree,standard,none,51,69,69
male,group D,associate's degree,standard,none,66,65,65
male,group C,some high school,free/reduced,none,63,70,62
female,group B,associate's degree,standard,none,50,68,62
male,group B,some high school,standard,none,68,60,59
female,group C,associate's degree,standard,none,68,78,78
female,group B,associate's degree,standard,completed,61,72,71
female,group C,some college,free/reduced,none,61,72,69
female,group C,associate's degree,standard,none,77,88,81
female,group B,associate's degree,standard,none,84,85,88
male,group C,some college,standard,none,91,89,86
male,group C,bachelor's degree,standard,completed,76,68,74
male,group D,high school,standard,none,91,80,83
female,group B,associate's degree,free/reduced,completed,75,89,90
female,group A,high school,standard,none,57,60,59
female,group C,some college,free/reduced,none,49,62,60
male,group C,high school,standard,none,79,75,66
male,group D,some college,standard,completed,96,93,93
female,group B,some high school,standard,none,54,65,63
male,group A,associate's degree,standard,none,70,73,68
female,group C,some college,standard,none,49,58,58
female,group D,some college,free/reduced,none,20,30,24
female,group C,high school,standard,none,73,87,83
male,group D,some high school,standard,none,49,41,36
female,group E,master's degree,free/reduced,none,77,86,73
male,group C,some college,free/reduced,none,78,71,68
male,group B,master's degree,standard,completed,84,77,76
male,group D,some high school,free/reduced,none,55,56,55
female,group C,some college,standard,none,73,83,86
male,group C,some college,standard,none,74,72,71
female,group B,some college,free/reduced,completed,61,77,80
female,group E,high school,standard,none,75,75,70
male,group A,some college,standard,completed,71,76,82
female,group D,master's degree,free/reduced,completed,89,94,97
male,group C,bachelor's degree,standard,completed,100,95,95
male,group C,some high school,free/reduced,completed,70,74,71
female,group C,bachelor's degree,standard,none,68,76,76
female,group B,high school,standard,none,46,61,59
male,group B,associate's degree,standard,none,53,39,39
male,group E,some high school,standard,none,84,74,69
female,group D,master's degree,standard,none,71,88,91
male,group C,high school,standard,none,48,43,34
female,group C,some college,free/reduced,none,68,80,81
female,group C,some high school,free/reduced,none,25,49,44
female,group A,some high school,standard,none,61,58,55
male,group D,associate's degree,free/reduced,none,35,44,39
female,group C,associate's degree,standard,completed,57,72,71
female,group D,bachelor's degree,standard,none,82,87,92
male,group E,some high school,free/reduced,completed,80,67,76
male,group B,some high school,standard,none,57,62,62
female,group D,some high school,standard,none,47,63,63
female,group C,associate's degree,free/reduced,none,52,56,53
female,group D,some college,free/reduced,none,46,48,57
male,group D,some college,free/reduced,completed,19,25,20
female,group E,some college,free/reduced,completed,81,90,94
female,group C,high school,standard,none,68,75,74
male,group C,some high school,standard,completed,76,72,69
male,group B,associate's degree,standard,completed,94,90,89
female,group B,high school,free/reduced,completed,45,55,57
male,group B,some high school,standard,completed,81,70,66
female,group E,bachelor's degree,standard,none,76,86,89
male,group B,some college,standard,none,44,44,47
female,group C,some high school,standard,none,73,89,86
male,group B,high school,free/reduced,completed,50,57,52
male,group D,associate's degree,standard,none,85,77,72
male,group D,bachelor's degree,standard,completed,93,85,93
male,group B,bachelor's degree,free/reduced,none,62,63,66
male,group D,some college,standard,none,65,58,54
female,group D,some college,standard,none,44,55,56
female,group E,some high school,free/reduced,none,61,70,69
female,group D,some college,free/reduced,none,75,92,93
male,group C,some high school,standard,none,68,61,59
male,group A,some college,free/reduced,completed,75,77,73
female,group B,associate's degree,standard,none,78,85,81
female,group B,bachelor's degree,standard,none,59,58,60
female,group D,high school,standard,none,84,98,93
male,group C,associate's degree,standard,none,68,62,63
male,group D,bachelor's degree,standard,none,71,57,54
female,group B,associate's degree,standard,none,79,80,79
female,group C,bachelor's degree,standard,none,71,83,83
male,group C,associate's degree,free/reduced,none,50,53,49
female,group D,some college,standard,none,82,87,87
female,group B,associate's degree,standard,completed,81,88,96
female,group C,some college,standard,none,81,90,89
male,group C,associate's degree,free/reduced,none,51,63,49
female,group C,some high school,standard,completed,65,72,71
female,group C,some high school,standard,none,69,73,66
female,group A,master's degree,standard,none,59,79,74
male,group D,high school,standard,completed,64,71,72
female,group A,high school,free/reduced,completed,28,42,43
male,group A,some high school,free/reduced,none,47,39,39
female,group A,high school,free/reduced,completed,53,72,68
male,group D,some high school,standard,completed,69,57,65
male,group C,some high school,free/reduced,none,51,45,33
female,group C,some college,standard,none,81,90,87
male,group C,associate's degree,standard,completed,79,81,76
male,group D,some high school,standard,completed,65,65,67
female,group C,master's degree,free/reduced,none,73,81,82
female,group D,some high school,free/reduced,none,44,47,50
male,group D,high school,standard,none,55,65,64
female,group A,associate's degree,free/reduced,none,39,46,51
male,group C,associate's degree,free/reduced,none,89,75,74
female,group D,associate's degree,free/reduced,none,59,69,69
female,group C,bachelor's degree,standard,none,92,98,100
male,group D,high school,standard,none,61,54,59
male,group C,some college,free/reduced,none,59,57,52
male,group A,master's degree,free/reduced,none,79,78,77
female,group E,master's degree,free/reduced,completed,60,70,73
male,group D,some college,free/reduced,none,62,62,62
female,group D,some college,free/reduced,none,53,63,63
female,group D,some college,free/reduced,completed,58,74,80
female,group B,master's degree,standard,completed,78,91,93
male,group C,some college,free/reduced,none,77,75,68
female,group D,high school,standard,none,65,84,79
female,group A,bachelor's degree,free/reduced,completed,52,74,73
male,group C,high school,free/reduced,completed,70,81,76
female,group E,some high school,free/reduced,none,48,61,60
male,group E,high school,standard,none,75,64,61
male,group C,associate's degree,standard,completed,79,78,74
female,group D,some college,free/reduced,none,54,70,63
female,group E,master's degree,free/reduced,none,54,55,57
female,group C,high school,standard,none,47,59,56
male,group D,some college,standard,completed,99,85,91
male,group C,associate's degree,standard,none,84,81,75
male,group D,associate's degree,standard,none,73,78,76
male,group B,some college,free/reduced,none,61,62,53
female,group A,some high school,standard,none,71,82,78
male,group D,bachelor's degree,standard,completed,92,92,83
male,group E,high school,free/reduced,none,44,41,38
male,group C,some college,standard,none,68,67,63
male,group C,associate's degree,standard,completed,97,88,93
male,group C,high school,standard,completed,85,86,91
male,group D,associate's degree,free/reduced,none,86,87,84
male,group E,high school,free/reduced,none,62,51,41
female,group A,bachelor's degree,free/reduced,none,49,58,65
female,group D,some college,free/reduced,none,63,81,76
male,group C,some college,standard,none,67,64,60
female,group C,bachelor's degree,standard,none,62,70,75
female,group C,associate's degree,standard,none,48,42,45
male,group C,master's degree,free/reduced,none,55,49,42
male,group E,some high school,standard,none,87,68,69
male,group E,associate's degree,free/reduced,none,75,66,61
female,group D,some high school,free/reduced,none,37,49,47
female,group E,associate's degree,standard,none,93,97,89
male,group A,some college,free/reduced,none,34,44,42
male,group D,some high school,standard,completed,79,82,89
male,group C,some college,standard,none,63,60,49
male,group E,some college,standard,none,71,71,66
female,group C,some high school,standard,none,63,68,59
male,group B,some high school,standard,completed,73,59,62
male,group D,bachelor's degree,free/reduced,completed,85,90,97
female,group C,some high school,free/reduced,none,30,39,40
female,group C,associate's degree,free/reduced,completed,54,71,69
female,group E,high school,standard,none,64,60,52
male,group D,high school,standard,none,66,69,68
male,group C,bachelor's degree,free/reduced,none,61,67,69
male,group D,some college,standard,completed,80,71,75
male,group B,associate's degree,standard,none,63,65,60
male,group B,some high school,standard,none,68,49,49
female,group E,bachelor's degree,free/reduced,none,67,70,72
female,group C,high school,free/reduced,none,65,78,77
female,group E,high school,standard,completed,83,92,91
male,group E,bachelor's degree,standard,completed,87,71,75
male,group C,some college,standard,none,68,65,58
male,group C,bachelor's degree,free/reduced,none,76,74,75
female,group B,some college,free/reduced,completed,74,77,77
male,group E,master's degree,free/reduced,none,82,85,79
female,group D,master's degree,free/reduced,none,27,36,41
male,group D,master's degree,standard,none,71,68,68
male,group C,associate's degree,standard,none,65,69,65
male,group B,some college,standard,completed,50,51,49
female,group D,high school,free/reduced,none,66,79,78
female,group E,some college,standard,none,84,77,84
female,group E,some high school,standard,none,64,69,68
female,group C,associate's degree,standard,none,49,57,58
male,group C,associate's degree,standard,none,80,73,73
male,group B,some high school,standard,completed,64,58,58
female,group D,some college,standard,none,91,96,98
male,group C,associate's degree,standard,completed,83,80,80
female,group C,some high school,standard,none,62,74,72
male,group B,bachelor's degree,free/reduced,completed,79,73,80
male,group C,some college,standard,completed,71,73,70
male,group B,some high school,standard,none,42,42,40
male,group D,some high school,standard,completed,92,90,94
male,group B,associate's degree,free/reduced,none,65,63,53
female,group D,bachelor's degree,standard,none,79,85,88
male,group D,associate's degree,free/reduced,completed,54,57,64
female,group D,associate's degree,standard,none,65,71,74
female,group C,master's degree,standard,none,83,92,96
female,group B,some high school,standard,none,58,61,66
female,group E,some high school,standard,none,91,91,88
female,group B,bachelor's degree,free/reduced,none,64,80,83
female,group E,associate's degree,standard,none,93,97,97
male,group D,master's degree,free/reduced,none,70,71,74
male,group C,associate's degree,free/reduced,completed,58,58,56
female,group A,high school,free/reduced,none,63,74,69
female,group C,some high school,standard,completed,64,80,76
female,group E,some college,standard,completed,83,92,94
female,group C,bachelor's degree,free/reduced,completed,65,75,83
male,group A,high school,free/reduced,completed,53,49,48
male,group D,high school,free/reduced,none,80,72,71
female,group D,master's degree,free/reduced,none,71,83,85
female,group B,bachelor's degree,free/reduced,none,62,74,64
male,group E,bachelor's degree,free/reduced,completed,75,66,66
male,group D,associate's degree,standard,none,67,75,64
female,group C,associate's degree,standard,completed,63,73,77
male,group C,high school,standard,none,76,72,68
female,group D,some college,standard,completed,98,100,100
male,group E,some college,standard,completed,100,100,100
male,group E,some high school,free/reduced,none,67,53,48
male,group E,some college,standard,none,82,78,75
female,group E,associate's degree,standard,none,75,93,87
female,group C,high school,standard,none,55,65,66
male,group D,some college,free/reduced,none,53,45,50
female,group E,associate's degree,standard,completed,100,100,100
male,group C,high school,standard,none,65,63,52
female,group C,associate's degree,standard,none,51,67,56
female,group E,some high school,standard,completed,63,66,68
female,group C,some college,standard,none,74,85,77
female,group D,some college,standard,none,55,71,68
male,group B,bachelor's degree,standard,none,90,89,86
male,group B,bachelor's degree,free/reduced,none,68,70,63
female,group B,associate's degree,standard,none,83,95,98
male,group C,bachelor's degree,free/reduced,completed,64,59,65
female,group C,master's degree,free/reduced,completed,51,67,71
male,group C,some high school,free/reduced,none,30,29,31
female,group E,some high school,standard,none,96,96,89
male,group D,some college,standard,completed,62,59,67
female,group C,associate's degree,standard,none,85,100,99
female,group B,associate's degree,standard,completed,61,68,79
female,group D,high school,free/reduced,none,61,73,67
female,group B,some high school,standard,none,35,49,48
female,group C,high school,free/reduced,none,76,78,75
female,group B,bachelor's degree,standard,none,30,33,40
male,group E,some high school,standard,completed,60,66,67
male,group C,some high school,free/reduced,completed,55,59,54
female,group E,some college,standard,none,77,86,82
female,group E,some college,free/reduced,completed,77,78,81
male,group B,some college,standard,none,56,53,57
